Name,HR,R,RBI,SB,AVG,cluster_num
Eric Sogard,2,13,12,1,0.243,3
Stuart Fairchild,1,6,6,1,0.235,3
Mark Payton,0,2,2,0,0.23,3
Scott Heineman,0,1,1,0,0.236,3
Lewin Diaz,3,8,10,0,0.234,3
Gavin Sheets,1,2,2,0,0.232,3
Anderson Tejeda,2,8,8,1,0.22,3
Omar Estevez,1,3,3,0,0.244,3
Welington Castillo,2,5,6,0,0.23,3
Andrew Knapp,3,16,14,1,0.224,3
Derek Fisher,2,7,6,1,0.212,3
Ramon Urias,1,4,4,0,0.231,3
Zack Collins,4,15,15,0,0.197,3
Cesar Puello,0,2,1,0,0.238,3
John Nogowski,1,3,3,0,0.239,3
Willians Astudillo,1,3,3,0,0.263,3
Caleb Raleigh,1,3,4,0,0.219,3
Neil Walker,1,6,6,0,0.226,3
William Contreras,1,7,7,0,0.25,3
Jose Peraza,0,2,2,1,0.253,3
Jared Oliva,1,10,8,3,0.233,3
Jose Marmolejos,3,11,12,0,0.227,3
Travis Jankowski,0,2,1,1,0.23,3
Jake Noll,1,3,3,0,0.234,3
Braden Bishop,1,7,6,1,0.223,3
Meibrys Viloria,1,5,5,0,0.226,3
Jason Vosler,0,1,1,0,0.203,3
Dustin Garneau,1,2,3,0,0.198,3
Michael Perez,3,14,16,0,0.211,3
Tony Wolters,1,10,9,0,0.223,3
Harold Castro,1,12,11,1,0.248,3
Luis Barrera,1,6,5,1,0.233,3
Ronnie Dawson,1,3,3,1,0.202,3
Garrett Stubbs,0,2,2,0,0.22,3
Phil Gosselin,1,6,5,0,0.233,3
John Hicks,1,2,2,0,0.219,3
Beau Taylor,1,6,5,0,0.204,3
Tyrone Taylor,1,3,3,0,0.219,3
Tyler Heineman,1,3,3,0,0.225,3
Dee Gordon,1,18,11,7,0.263,3
Bryan Holaday,0,1,1,0,0.226,3
Yu-Cheng Chang,1,5,5,0,0.208,3
Austin Allen,2,6,7,0,0.22,3
Brian O'Grady,1,2,2,0,0.199,3
Kelvin Gutierrez,0,3,2,0,0.233,3
Seby Zavala,0,1,1,0,0.203,3
Jon Jay,0,3,3,0,0.24,3
Richie Martin Jr.,2,11,7,2,0.222,3
Magneuris Sierra,1,10,6,4,0.239,3
Jeff Mathis,1,3,3,0,0.201,3
Jose Siri,1,5,4,1,0.203,3
Skye Bolt,0,1,1,0,0.195,3
Luke Maile,1,2,2,0,0.202,3
Caleb Joseph,0,1,1,0,0.21,3
Michael Reed,1,7,5,2,0.196,3
Seth Brown,2,7,7,0,0.199,3
Aramis Garcia,4,15,16,0,0.201,3
Jorge Mateo,2,10,8,3,0.213,3
Keon Broxton,1,5,3,2,0.184,3
Drew Butera,1,3,3,0,0.206,3
Nick Heath,0,2,1,1,0.212,3
Sandy Leon,1,5,5,0,0.2,3
Monte Harrison,1,2,2,1,0.203,3
Gregory Deichmann,0,1,1,0,0.194,3
Anthony Bemboom,1,4,4,0,0.203,3
Bubba Starling,0,1,1,0,0.216,3
Austin Wynns,0,1,1,0,0.221,3
Derek Hill,0,1,1,0,0.213,3
Billy Hamilton,1,15,7,9,0.225,3
Andrew Velazquez,0,1,1,0,0.216,3
Reese McGuire,3,16,14,1,0.224,3
Tyler Wade,2,14,10,3,0.221,3
Eli White,2,12,10,2,0.222,3
Jake Rogers,4,12,12,1,0.201,3
Brett Phillips,2,8,7,2,0.199,3
Ildemaro Vargas,1,11,11,1,0.25,3
Donnie Walton,0,3,2,0,0.231,3
Sean Rodriguez,1,3,3,0,0.193,3
Connor Chatham,0,3,3,0,0.254,3
Estevan Florial,0,1,1,0,0.212,3
Daz Cameron,2,11,9,2,0.218,3
Steven Duggar,1,9,7,1,0.229,3
Hernan Perez,0,2,2,0,0.237,3
Jonathan Davis,1,5,4,1,0.216,3
Ehire Adrianza,0,2,2,0,0.233,3
Breyvic Valera,0,3,2,0,0.24,3
Kramer Robertson,0,1,1,0,0.225,3
Max Schrock,1,4,3,0,0.242,3
Kevin Smith,0,1,1,0,0.216,3
Gerardo Parra,2,11,10,2,0.242,3
Mark Mathias,0,1,1,0,0.222,3
Joey Bart,2,8,9,0,0.23,3
Chad Tromp,0,1,1,0,0.225,3
Deivy Grullon,1,3,3,0,0.222,3
Mickey Moniak,1,6,6,1,0.234,3
Matt Reynolds,0,1,1,0,0.223,3
Jacob Nottingham,5,15,17,1,0.207,3
Rene Rivera,2,5,6,0,0.209,3
Danny Mendick,2,9,8,1,0.228,3
Erik Gonzalez,3,16,14,3,0.239,3
Juan Lagares,1,8,7,1,0.235,3
Micker Adolfo,1,3,3,0,0.204,3
Cam Gallagher,3,13,14,0,0.228,3
Vimael Machin,1,10,9,0,0.23,3
Kyle Garlick,1,3,3,0,0.211,3
Patrick Higgins,0,2,2,0,0.229,3
Alexander De Goti,0,1,1,0,0.227,3
Alex Jackson,5,14,16,0,0.201,3
Brandon Drury,0,1,1,0,0.223,3
Blake Rutherford,0,1,1,0,0.232,3
Sheldon Neuse,2,9,9,0,0.231,3
Jose Briceno,2,5,6,1,0.224,3
Edmundo Sosa,2,13,12,1,0.241,3
Will Craig,0,1,1,0,0.214,3
Jason Martin,0,1,1,0,0.225,3
Mike Freeman,0,1,1,0,0.229,3
DJ Peters,0,1,1,0,0.201,3
Thairo Estrada,1,7,6,1,0.238,3
Delino DeShields,2,16,8,6,0.228,3
Tyler Nevin,0,1,1,0,0.249,3
