Name,HR,R,RBI,SB,AVG
Edwin Encarnacion,11,26,29,1,0.22
Avisail Garcia,11,44,44,5,0.263
Jedd Gyorko,8,21,23,0,0.236
Kolten Wong,10,69,54,15,0.262
Nick Solak,14,63,56,8,0.261
Byron Buxton,25,81,70,20,0.245
Austin Riley,25,71,81,1,0.248
Luis Campusano,2,7,8,0,0.269
Kyle Seager,24,70,77,4,0.239
Alec Bohm,16,70,69,5,0.265
Nick Senzel,17,74,63,16,0.254
Luis Robert,25,84,78,20,0.249
Corey Dickerson,16,62,66,5,0.267
Starlin Castro,17,60,68,2,0.274
Ryan Mountcastle,19,62,65,3,0.265
Mitch Garver,13,38,39,0,0.228
Tim Locastro,5,38,26,12,0.255
Javier Baez,30,85,96,14,0.258
Andrew Benintendi,12,65,57,10,0.252
Jeimer Candelario,18,68,65,3,0.239
Yoshitomo Tsutsugo,12,36,39,0,0.222
Mike Ford,1,3,3,0,0.232
Renato Nunez,19,51,57,1,0.241
Alexander Kirilloff,10,48,47,3,0.268
Ryan McMahon,21,68,71,3,0.241
Khris Davis,16,36,43,0,0.225
Adam Frazier,10,59,54,7,0.267
Eric Hosmer,21,76,80,6,0.261
Colin Moran,18,61,71,1,0.255
Odubel Herrera,3,13,12,1,0.257
Jean Segura,13,73,66,13,0.276
Kurt Suzuki,9,30,32,1,0.25
Lorenzo Cain,8,65,54,15,0.268
Keibert Ruiz,1,4,4,0,0.273
Buster Posey,8,52,50,2,0.268
Jake Bauers,8,33,29,5,0.234
Jason Heyward,14,63,59,4,0.245
Miguel Cabrera,16,64,67,1,0.258
Jose Martinez,1,6,6,0,0.26
Jordan Luplow,8,29,28,3,0.233
Willy Adames,18,67,65,6,0.244
Matt Joyce,3,14,13,0,0.232
Danny Jansen,13,47,44,2,0.233
David Fletcher,8,75,60,8,0.278
Josh Naylor,12,54,56,3,0.258
Gavin Lux,14,61,55,7,0.25
Logan Morrison,5,13,15,0,0.22
Harold Ramirez,1,6,6,0,0.273
Raimel Tapia,8,69,56,15,0.276
Jeter Downs,1,5,5,1,0.241
Bobby Dalbec,25,66,69,2,0.219
Tommy Edman,11,64,52,13,0.262
D.J. Stewart,14,45,40,4,0.223
Kyle Lewis,22,72,71,5,0.239
Shogo Akiyama,8,53,41,7,0.255
Giovanny Urshela,19,72,72,1,0.261
Miguel Andujar,1,4,4,0,0.257
Daulton Varsho,10,40,36,7,0.244
Robbie Grossman,11,61,49,8,0.243
Steven Souza Jr.,3,9,8,1,0.222
Brendan Rodgers,14,59,62,4,0.261
Maikel Franco,15,42,49,1,0.248
Travis Shaw,14,40,46,2,0.221
Tyler O'Neill,25,69,73,6,0.231
Ben Gamel,2,17,14,2,0.254
Ha-seong Kim,9,38,37,6,0.245
Vidal Brujan,1,10,8,4,0.263
Dylan Carlson,17,71,66,9,0.244
Jurickson Profar,13,53,51,8,0.242
Ryan Zimmerman,5,19,20,0,0.249
Josh Rojas,5,31,24,8,0.247
Matt Adams,3,7,8,0,0.223
Andrew Vaughn,9,36,37,1,0.247
Yuli Gurriel,17,74,77,5,0.267
Victor Robles,16,84,65,25,0.249
Danny Santana,3,11,9,3,0.242
Alex Avila,10,32,32,1,0.207
Jake Cronenworth,8,57,48,9,0.256
Marwin Gonzalez,9,38,35,1,0.251
Austin Nola,11,46,48,2,0.249
Christian Vazquez,13,53,48,6,0.257
Jackie Bradley Jr.,18,67,65,10,0.23
Chance Sisco,9,33,30,0,0.225
Isaac Paredes,2,9,9,0,0.255
Robinson Chirinos,4,12,11,0,0.215
Yonathan Daza,2,23,21,4,0.283
Yermin Mercedes,0,1,2,0,0.244
Harrison Bader,19,71,61,12,0.23
Omar Narvaez,8,31,32,0,0.242
Christian Arroyo,7,28,27,1,0.252
Jake Lamb,8,28,27,1,0.218
Trevor Larnach,1,2,2,0,0.249
Garrett Hampson,7,43,32,13,0.257
Luis Urias,10,59,54,5,0.249
Ryan Jeffers,11,36,37,0,0.241
Tyler Stephenson,6,22,23,0,0.243
Pavin Smith,3,15,14,1,0.252
Jay Bruce,7,16,18,0,0.219
Carson Kelly,13,41,47,0,0.235
Heliot Ramos,4,18,17,2,0.248
Tyler Flowers,4,15,14,0,0.216
Josh VanMeter,4,18,16,3,0.237
Aristides Aquino,8,20,21,2,0.224
Evan Longoria,14,52,56,2,0.248
David Bote,10,38,38,3,0.231
Tyler White,0,1,1,0,0.229
Enrique Hernandez,15,48,48,2,0.235
Willie Calhoun,17,55,59,1,0.241
Jose Iglesias,10,64,58,8,0.276
Tyler Nevin,0,1,1,0,0.249
Jarred Kelenic,14,46,44,7,0.237
Tim Beckham,1,4,4,0,0.238
Michael Chavis,8,26,26,2,0.232
Cristian Pache,13,65,59,9,0.26
Matt Duffy,1,5,4,1,0.262
Brett Gardner,7,35,26,5,0.233
Aledmys Diaz,6,22,23,1,0.246
Nick Markakis,4,38,34,1,0.257
Darin Ruf,5,18,19,1,0.23
Dexter Fowler,13,56,48,5,0.219
Carter Kieboom,12,56,53,3,0.241
Andy Young,6,20,20,1,0.229
Wilson Ramos,7,31,33,0,0.259
Billy McKinney,0,2,2,0,0.228
Dylan Moore,16,62,47,23,0.224
Donovan Solano,9,58,59,1,0.272
Abraham Toro,2,9,9,1,0.234
Cesar Puello,0,2,1,0,0.238
